### Taken from DRAKE! Probably best to get our own implementation or sth
# Tabulated SM Higgs width as a function of its mass (both in GeV)
# This table was generated out of tables from darksusy 6.2.4. which were based on HDecay 6.53
# mh	width
1.	3.357e-7
2.	5.604e-7
3.	2.352e-6
4.	0.00001043
5.	0.00001726
6.	0.00002315
7.	0.00002863
8.	0.00003406
9.	0.00003976
10.	0.00006946
11.	0.0001583
12.	0.0002387
13.	0.0003074
14.	0.0003665
15.	0.000418
16.	0.0004637
17.	0.0005051
18.	0.000543
19.	0.0005782
20.	0.0006113
21.	0.0006428
22.	0.0006728
23.	0.0007018
24.	0.0007299
25.	0.0007572
26.	0.0007839
27.	0.00081
28.	0.0008357
29.	0.000861
30.	0.0008859
31.	0.0009106
32.	0.000935
33.	0.0009591
34.	0.0009831
35.	0.001007
36.	0.00103
37.	0.001054
38.	0.001077
39.	0.0011
40.	0.001124
41.	0.001147
42.	0.001169
43.	0.001192
44.	0.001215
45.	0.001238
46.	0.00126
47.	0.001283
48.	0.001305
49.	0.001328
50.	0.00135
51.	0.001372
52.	0.001395
53.	0.001417
54.	0.001439
55.	0.001461
56.	0.001484
57.	0.001506
58.	0.001528
59.	0.00155
60.	0.001572
61.	0.001595
62.	0.001617
63.	0.001639
64.	0.001661
65.	0.001683
66.	0.001706
67.	0.001728
68.	0.00175
69.	0.001773
70.	0.001795
71.	0.001817
72.	0.00184
73.	0.001862
74.	0.001885
75.	0.001907
76.	0.00193
77.	0.001952
78.	0.001975
79.	0.001997
80.	0.00202
81.	0.002043
82.	0.002066
83.	0.002089
84.	0.002112
85.	0.002135
86.	0.002158
87.	0.002182
88.	0.002205
89.	0.002229
90.	0.002253
91.	0.002277
92.	0.002301
93.	0.002326
94.	0.00235
95.	0.002376
96.	0.002402
97.	0.002428
98.	0.002455
99.	0.002483
100.	0.002512
101.	0.002541
102.	0.002572
103.	0.002603
104.	0.002637
105.	0.002671
106.	0.002707
107.	0.002746
108.	0.002786
109.	0.002828
110.	0.002873
111.	0.002921
112.	0.002972
113.	0.003026
114.	0.003084
115.	0.003147
116.	0.003213
117.	0.003285
118.	0.003361
119.	0.003444
120.	0.003533
121.	0.003629
122.	0.003732
123.	0.003844
124.	0.003965
125.	0.004096
126.	0.004238
127.	0.004391
128.	0.004558
129.	0.004738
130.	0.004935
131.	0.005148
132.	0.00538
133.	0.005633
134.	0.005908
135.	0.006209
136.	0.006537
137.	0.006897
138.	0.007291
139.	0.007724
140.	0.0082
141.	0.008726
142.	0.009307
143.	0.009951
144.	0.01067
145.	0.01147
146.	0.01237
147.	0.01338
148.	0.01453
149.	0.01584
150.	0.01735
151.	0.01911
152.	0.02118
153.	0.02365
154.	0.02665
155.	0.0304
156.	0.03519
157.	0.04158
158.	0.05051
159.	0.06368
160.	0.08379
161.	0.1129
162.	0.1475
163.	0.1822
164.	0.215
165.	0.2455
166.	0.2742
167.	0.3015
168.	0.3276
169.	0.353
170.	0.3777
171.	0.402
172.	0.426
173.	0.4499
174.	0.4738
175.	0.4979
176.	0.5224
177.	0.5476
178.	0.5737
179.	0.6012
180.	0.6309
181.	0.6638
182.	0.7011
183.	0.743
184.	0.787
185.	0.8311
186.	0.8742
187.	0.9163
188.	0.9574
189.	0.9978
190.	1.038
191.	1.077
192.	1.116
193.	1.155
194.	1.194
195.	1.232
196.	1.271
197.	1.31
198.	1.349
199.	1.389
200.	1.428
201.	1.468
202.	1.508
203.	1.549
204.	1.589
